iter	RMSE
0	181.3085059
1	176.0461799
2	170.8797444
3	166.6259185
4	161.9329808
5	157.3893964
6	153.0517923
7	149.1685425
8	145.1211523
9	141.5924119
10	138.2258338
11	134.7785102
12	131.5583638
13	128.3800857
14	125.3542326
15	122.6248047
16	119.8745885
17	117.0675293
18	114.611636
19	112.1853338
20	110.0644425
21	108.0254869
22	105.7852136
23	103.6230246
24	101.5111982
25	99.55637398
26	97.71800767
27	96.01571375
28	94.42572223
29	92.80030138
30	91.18042535
31	89.81287106
32	88.51450106
33	87.20990244
34	85.88214977
35	84.71371214
36	83.48510221
37	82.46678109
38	81.41362159
39	80.46391519
40	79.56561726
41	78.60993678
42	77.83808621
43	77.12059474
44	76.34376454
45	75.56931744
46	74.88242726
47	74.14914028
48	73.49810641
49	72.89098223
50	72.32892627
51	71.80142751
52	71.35007953
53	70.8245818
54	70.37959381
55	69.92071752
56	69.48069217
57	68.91876893
58	68.49840755
59	68.11048765
60	67.6705675
61	67.24902109
62	66.9408291
63	66.52328217
64	66.16657708
65	65.85761348
66	65.54481024
67	65.21217955
68	64.91225909
69	64.59288554
70	64.33761694
71	64.04907987
72	63.93034092
73	63.69229104
74	63.4241767
75	63.1377131
76	62.90500847
77	62.68240987
78	62.44224437
79	62.28325987
80	62.04364986
81	61.75752334
82	61.58351813
83	61.38347062
84	61.21510627
85	61.0365124
86	60.91389568
87	60.77543971
88	60.59976066
89	60.37351401
90	60.18712339
91	60.07762372
92	59.92935377
93	59.72883331
94	59.57231765
95	59.4432022
96	59.34193102
97	59.20276861
98	59.06884325
99	58.95842342
100	58.85760706
101	58.74028473
102	58.62847467
103	58.49765383
104	58.37498473
105	58.28188269
106	58.16906345
107	58.04944416
108	57.89459071
109	57.81736737
110	57.77881833
111	57.68537218
112	57.57722864
113	57.44546347
114	57.34648572
115	57.25882796
116	57.12245127
117	57.02075871
118	56.96530944
119	56.87842026
120	56.75894318
121	56.65913979
122	56.55998467
123	56.45358843
124	56.34355363
125	56.25304227
126	56.11227133
127	56.03742009
128	55.92924358
129	55.84805008
130	55.7514957
131	55.64392127
132	55.48350141
133	55.44717953
134	55.35027136
135	55.2506133
136	55.19040074
137	55.12714504
138	54.98423239
139	54.84413057
140	54.76053546
141	54.65955361
142	54.52891816
143	54.38813047
144	54.31028465
145	54.1913799
146	54.07413318
147	54.01764961
148	53.95572287
149	53.90341145
150	53.81396773
151	53.76224406
152	53.67390673
153	53.62587506
154	53.53459474
155	53.43786379
